RecordNumber,MediaURN,Title,Publisher,StartDate,StartTime,EndTime,Description,MediaType,CallNumber
898,896,"News Live London","Al Jazeera Eng",16/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000898
927,925,"News Live London","Al Jazeera Eng",17/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW}",Video,BNT000000927
937,935,"News Live London","Al Jazeera Eng",18/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000937
946,944,"News Live London","Al Jazeera Eng",19/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000946
960,958,"News Live London","Al Jazeera Eng",20/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000960
971,969,"News Live London","Al Jazeera Eng",21/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000971
982,980,"News Live London","Al Jazeera Eng",22/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000982
997,995,"News Live London","Al Jazeera Eng",23/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000997
1007,1005,"News Live London","Al Jazeera Eng",24/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001007
1017,1015,"News Live London","Al Jazeera Eng",25/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001017
1027,1025,"News Live London","Al Jazeera Eng",26/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001027
1049,1047,"News Live London","Al Jazeera Eng",27/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001049
1060,1058,"News Live London","Al Jazeera Eng",28/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001060
1070,1068,"Newshour","Al Jazeera Eng",29/07/2010,19:00:00,19:57:00,"World news linking Al Jazeera's international news centres. [AW]",Video,BNT000001070
1081,1079,"News Live London","Al Jazeera Eng",30/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001081
1090,1088,"News Live London","Al Jazeera Eng",31/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001090
1102,1100,"News Live London","Al Jazeera Eng",01/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001102
1128,1126,"News Live London","Al Jazeera Eng",02/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001128
1145,1143,"News Live London","Al Jazeera Eng",03/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001145
1165,1163,"News Live London","Al Jazeera Eng",04/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001165
1190,1188,"News Live London","Al Jazeera Eng",05/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001190
1209,1207,"News Live London","Al Jazeera Eng",06/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001209
1228,1226,"News Live London","Al Jazeera Eng",07/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001228
1243,1241,"News Live London","Al Jazeera Eng",08/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001243
1261,1259,"News Live London","Al Jazeera Eng",09/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001261
1289,1287,"News Live London","Al Jazeera Eng",10/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001289
1312,1310,"News Live London","Al Jazeera Eng",11/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001312
1340,1338,"News Live London","Al Jazeera Eng",12/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001340
1360,1358,"News Live London","Al Jazeera Eng",13/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [NR]",Video,BNT000001360
1393,1391,"News Live London","Al Jazeera Eng",14/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001393
1410,1408,"News Live London","Al Jazeera Eng",15/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001410
1429,1427,"News Live London","Al Jazeera Eng",16/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001429
1448,1446,"News Live London","Al Jazeera Eng",17/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001448
1467,1465,"News Live London","Al Jazeera Eng",18/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001467
1486,1484,"News Live London","Al Jazeera Eng",19/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001486
1506,1504,"News Live London","Al Jazeera Eng",20/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001506
1525,1523,"News Live London","Al Jazeera Eng",21/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001525
1526,1524,"News Live London","Al Jazeera Eng",21/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001526
1560,1558,"News Live London","Al Jazeera Eng",23/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001560
1603,1602,"News Live London","Al Jazeera Eng",24/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001603
1604,1603,"News Live London","Al Jazeera Eng",24/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001604
1634,1633,"News Live London","Al Jazeera Eng",25/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001634
1645,1644,"News Live London","Al Jazeera Eng",26/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001645
1680,1679,"News Live London","Al Jazeera Eng",27/08/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001680
1699,1698,"News Live London","Al Jazeera Eng",28/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001699
1715,1714,"News Live London","Al Jazeera Eng",29/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001715
1730,1729,"News Live London","Al Jazeera Eng",30/08/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001730
1752,1751,"News Live London","Al Jazeera Eng",31/08/2010,22:59:00,23:32:00,"News Live London [AW]",Video,BNT000001752
1801,1800,"News Live London","Al Jazeera Eng",01/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001801
1824,1823,"News Live London","Al Jazeera Eng",02/09/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001824
1861,1860,"News Live London","Al Jazeera Eng",04/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001861
1877,1876,"News Live London","Al Jazeera Eng",05/09/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001877
1906,1909,"News Live London","Al Jazeera Eng",06/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001906
1930,1938,"News Live London","Al Jazeera Eng",07/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001930
1954,1962,"News Live London","Al Jazeera Eng",08/09/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001954
1974,1982,"News Live London","Al Jazeera Eng",09/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000001974
2014,2022,"News Live London","Al Jazeera Eng",10/09/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002014
2033,2041,"News Live London","Al Jazeera Eng",11/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002033
2034,2042,"One-hour News Doha","Al Jazeera Eng",11/09/2010,14:00:00,14:57:00,"World news from Al Jazeera's Doha news centre. Including Live Barack Obama Conference about 9/11 [AW]",Video,BNT000002034
2052,2060,"News Live London","Al Jazeera Eng",12/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002052
2124,2132,"News Live London","Al Jazeera Eng",14/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002124
2150,2158,"News Live London","Al Jazeera Eng",15/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002150
2178,2186,"News Live London","Al Jazeera Eng",16/09/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002178
2200,2208,"News Live London","Al Jazeera Eng",17/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002200
2222,2230,"News Live London","Al Jazeera Eng",18/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002222
2260,2268,"News Live London","Al Jazeera Eng",19/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002260
2281,2289,"News Live London","Al Jazeera Eng",20/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002281
2304,2312,"News Live London","Al Jazeera Eng",21/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002304
2353,2361,"News Live London","Al Jazeera Eng",22/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002353
2371,2379,"News Live London","Al Jazeera Eng",23/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002371
2397,2405,"News Live London","Al Jazeera Eng",24/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002397
2417,2425,"One-hour News Doha","Al Jazeera Eng",25/09/2010,14:00:00,14:58:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000002417
2459,2467,"News Live London","Al Jazeera Eng",27/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002459
2478,2486,"News Live London","Al Jazeera Eng",28/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002478
2499,2507,"News Live London","Al Jazeera Eng",29/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002499
2522,2530,"News Live London","Al Jazeera Eng",30/09/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002522
2547,2555,"News Live London","Al Jazeera Eng",01/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002547
2568,2576,"News Live London","Al Jazeera Eng",02/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002568
2588,2596,"News Live London","Al Jazeera Eng",03/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002588
2605,2613,"News Live London","Al Jazeera Eng",04/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002605
2626,2634,"News Live London","Al Jazeera Eng",05/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002626
2653,2661,"News Live London","Al Jazeera Eng",06/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002653
2700,2708,"News Live London","Al Jazeera Eng",07/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002700
2721,2729,"News Live London","Al Jazeera Eng",08/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002721
2742,2750,"Newshour","Al Jazeera Eng",09/10/2010,10:00:00,10:57:00,"World news linking Al Jazeera's international news centres. [AW]",Video,BNT000002742
2751,2759,"News Live London","Al Jazeera Eng",12/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002751
2773,2781,"News Live London","Al Jazeera Eng",13/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre.  [AW]",Video,BNT000002773
2796,2804,"News Live London","Al Jazeera Eng",14/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002796
2820,2828,"News Live London","Al Jazeera Eng",15/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002820
2841,2849,"News Live London","Al Jazeera Eng",16/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002841
2858,2866,"News Live London","Al Jazeera Eng",17/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002858
2874,2882,"News Live London","Al Jazeera Eng",18/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002874
2913,2921,"News Live London","Al Jazeera Eng",18/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002913
2977,2985,"News Live London","Al Jazeera Eng",19/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000002977
3003,3011,"One-hour News London","Al Jazeera Eng",20/10/2010,21:00:00,21:57:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003003
3004,3012,"News Live London","Al Jazeera Eng",20/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003004
3035,3043,"News Live London","Al Jazeera Eng",21/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003035
3056,3064,"News Live London","Al Jazeera Eng",22/10/2010,22:00:00,22:33:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003056
3081,3089,"News Live London","Al Jazeera Eng",23/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003081
3097,3105,"News Live London","Al Jazeera Eng",24/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003097
3166,3174,"News Live London","Al Jazeera Eng",24/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003166
3149,3157,"News Live London","Al Jazeera Eng",25/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003149
3113,3121,"News Live London","Al Jazeera Eng",26/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003113
3130,3138,"One-hour News Doha","Al Jazeera Eng",27/10/2010,12:00:00,12:58:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000003130
3173,3181,"One-hour News Doha","Al Jazeera Eng",28/10/2010,12:00:00,12:59:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000003173
3174,3182,"One-hour News Doha","Al Jazeera Eng",28/10/2010,12:00:00,12:59:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000003174
3181,3189,"News Live London","Al Jazeera Eng",29/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003181
3203,3211,"News Live London","Al Jazeera Eng",30/10/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003203
3240,3248,"News Live London","Al Jazeera Eng",30/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003240
3241,3249,"News Live London","Al Jazeera Eng",30/10/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003241
3224,3232,"One-hour News London","Al Jazeera Eng",31/10/2010,21:00:00,21:57:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003224
3251,3259,"One-hour News Doha","Al Jazeera Eng",01/11/2010,13:00:00,13:59:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000003251
3357,3365,"News Live London","Al Jazeera Eng",04/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003357
3408,3416,"News Live London","Al Jazeera Eng",05/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003408
3272,3280,"News Live London","Al Jazeera Eng",05/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003272
3288,3296,"News Live London","Al Jazeera Eng",06/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003288
3303,3311,"News Live London","Al Jazeera Eng",07/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003303
3416,3424,"News Live London","Al Jazeera Eng",07/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003416
3379,3387,"News Live London","Al Jazeera Eng",08/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003379
3446,3454,"News Live London","Al Jazeera Eng",09/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003446
3396,3404,"News Live London","Al Jazeera Eng",10/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003396
3432,3440,"One-hour News Doha","Al Jazeera Eng",11/11/2010,13:00:00,13:59:00,"World news from Al Jazeera's Doha news centre. [AW]",Video,BNT000003432
3462,3470,"News Live London","Al Jazeera Eng",12/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre.  [AW]",Video,BNT000003462
3479,3487,"News Live London","Al Jazeera Eng",13/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003479
3493,3501,"News Live London","Al Jazeera Eng",14/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre.",Video,BNT000003493
3507,3515,"News Live London","Al Jazeera Eng",15/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003507
3523,3531,"News Live London","Al Jazeera Eng",16/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003523
3540,3548,"News Live London","Al Jazeera Eng",17/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003540
3555,3563,"News Live London","Al Jazeera Eng",18/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003555
3570,3578,"One-hour News Doha","Al Jazeera Eng",18/11/2010,13:51:00,13:54:00,"World news from Al Jazeera's Doha news centre. [AW] SLT clip....",Video,BNT000003570
3571,3579,"One-hour News Doha","Al Jazeera Eng",18/11/2010,13:51:00,13:54:00,"World news from Al Jazeera's Doha news centre. [AW] SLT clip....",Video,BNT000003571
3608,3616,"News Live London","Al Jazeera Eng",19/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003608
3638,3648,"News Live London","Al Jazeera Eng",20/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003638
3670,3680,"News Live London","Al Jazeera Eng",20/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003670
3653,3663,"News Live London","Al Jazeera Eng",21/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003653
3624,3632,"Listening Post","Al Jazeera Eng",22/11/2010,03:00:00,03:30:00,"Ep.46 Religious and political divisions in Iraq's government...and the country's media. Plus a snapshot of the media scene in the tiny island of St. Helena. [LM]",Video,BNT000003624
3767,3777,"News Live London","Al Jazeera Eng",27/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003767
3788,3798,"News Live London","Al Jazeera Eng",28/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003788
3813,3823,"News Live London","Al Jazeera Eng",29/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003813
3831,3841,"News Live London","Al Jazeera Eng",30/11/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003831
3856,3866,"News Live London","Al Jazeera Eng",01/12/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003856
3900,3910,"One-hour News London","Al Jazeera Eng",02/12/2010,21:00:00,21:57:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000003900
